population	locus	allele	freq
1	1	p1	0.986
1	1	p2	0.014
1	2	p1	0.027
1	2	p2	0.973
1	3	p1	0.039
1	3	p2	0.961
1	4	p1	1
1	5	p1	0.095
1	5	p2	0.905
1	6	p1	0.014
1	6	p2	0.986
1	7	p1	0.029
1	7	p2	0.971
1	8	p1	0.527
1	8	p2	0.473
1	9	p1	0.375
1	9	p2	0.625
1	10	p1	1
2	1	p1	1
2	2	p1	0.021
2	2	p2	0.979
2	3	p1	0.022
2	3	p2	0.978
2	4	p1	0.011
2	4	p2	0.989
2	5	p1	0.036
2	5	p2	0.964
2	6	p1	1
2	7	p1	0.024
2	7	p2	0.976
2	8	p1	0.463
2	8	p2	0.537
2	9	p1	0.411
2	9	p2	0.589
2	10	p1	1
3	1	p1	0.99
3	1	p2	0.01
3	2	p1	1
3	3	p1	1
3	4	p1	1
3	5	p1	0.148
3	5	p2	0.852
3	6	p1	1
3	7	p1	1
3	8	p1	0.685
3	8	p2	0.315
3	9	p1	0.409
3	9	p2	0.591
3	10	p1	1
4	1	p1	0.121
4	1	p2	0.879
4	2	p1	0.525
4	2	p2	0.475
4	3	p1	0.233
4	3	p2	0.767
4	4	p1	0.745
4	4	p2	0.255
4	5	p1	0.992
4	5	p2	0.008
4	6	p1	1
4	7	p1	0.206
4	7	p2	0.794
4	8	p1	0.918
4	8	p2	0.082
4	9	p1	0.797
4	9	p2	0.203
4	10	p1	0.258
4	10	p2	0.742
5	1	p1	0.098
5	1	p2	0.902
5	2	p1	0.54
5	2	p2	0.46
5	3	p1	0.2
5	3	p2	0.8
5	4	p1	0.786
5	4	p2	0.214
5	5	p1	1
5	6	p1	1
5	7	p1	0.173
5	7	p2	0.827
5	8	p1	0.83
5	8	p2	0.17
5	9	p1	0.83
5	9	p2	0.17
5	10	p1	0.367
5	10	p2	0.633
6	1	p1	0.041
6	1	p2	0.959
6	2	p1	0.532
6	2	p3	0.468
6	3	p1	0.157
6	3	p2	0.843
6	4	p1	0.744
6	4	p2	0.256
6	5	p1	1
6	6	p1	1
6	7	p1	0.209
6	7	p2	0.791
6	8	p1	0.931
6	8	p2	0.069
6	9	p1	0.887
6	9	p2	0.113
6	10	p1	0.333
6	10	p2	0.667
7	1	p1	0.316
7	1	p2	0.684
7	2	p1	0.806
7	2	p2	0.008
7	2	p3	0.186
7	3	p1	0.808
7	3	p2	0.192
7	4	p1	0.588
7	4	p2	0.412
7	5	p1	0.357
7	5	p2	0.643
7	6	p1	0.017
7	6	p2	0.983
7	7	p1	0.304
7	7	p2	0.625
7	7	p3	0.071
7	8	p1	0.64
7	8	p2	0.36
7	9	p1	0.936
7	9	p3	0.064
7	10	p2	0.962
7	10	p3	0.038
8	1	p2	0.291
8	1	p3	0.709
8	2	p1	0.776
8	2	p2	0.051
8	2	p3	0.173
8	3	p1	0.765
8	3	p2	0.235
8	4	p1	0.581
8	4	p2	0.419
8	5	p1	0.292
8	5	p2	0.708
8	6	p2	0.011
8	6	p3	0.989
8	7	p1	0.49
8	7	p2	0.418
8	7	p3	0.092
8	8	p1	0.602
8	8	p3	0.388
8	8	p4	0.01
8	9	p1	0.958
8	9	p3	0.042
8	10	p2	0.988
8	10	p3	0.012
9	1	p2	0.264
9	1	p3	0.736
9	2	p1	0.649
9	2	p3	0.351
9	3	p1	0.737
9	3	p2	0.263
9	4	p1	0.589
9	4	p2	0.411
9	5	p1	0.288
9	5	p2	0.712
9	6	p2	0.076
9	6	p3	0.924
9	7	p1	0.408
9	7	p2	0.525
9	7	p3	0.067
9	8	p1	0.625
9	8	p3	0.358
9	8	p4	0.017
9	9	p1	0.918
9	9	p3	0.082
9	10	p2	0.78
9	10	p3	0.22
10	1	p2	0.938
10	1	p3	0.062
10	2	p1	0.198
10	2	p3	0.802
10	3	p1	0.283
10	3	p2	0.717
10	4	p1	0.539
10	4	p2	0.461
10	5	p1	0.308
10	5	p2	0.692
10	6	p2	0.6
10	6	p3	0.4
10	7	p2	0.754
10	7	p3	0.246
10	8	p1	0.392
10	8	p3	0.608
10	9	p1	0.821
10	9	p3	0.179
10	10	p2	1
11	1	p2	0.88
11	1	p3	0.12
11	2	p1	0.347
11	2	p3	0.653
11	3	p1	0.26
11	3	p2	0.74
11	4	p1	0.51
11	4	p2	0.49
11	5	p1	0.575
11	5	p2	0.425
11	6	p2	0.673
11	6	p3	0.327
11	7	p2	0.729
